46,1,8,Stableboy,Arya Stark,Sword (Needle),Blade,Tried to grab Arya,King’s Landing,Smallfolk,1
55,1,9,Pigeon,Arya Stark,Hands,Hands,Killed for food,King’s Landing,None,1
82,2,5,The Tickler,Jaqen H’ghar,Unknown,Unknown,Arya Stark orders his death as part of her three deaths from Jaqen,Harrenhal,House Clegane,2
92,2,6,Amory Lorch,Jaqen H’ghar,Poison dart,Poison,Named by Arya Stark after he finds her with one of Tywin’s letters,Harrenhal,House Lannister,2
273,3,10,Frey soldier,Arya Stark,Knife,Blade,Killed in revenge for the Red Wedding,Riverlands,House Frey,1
274,3,10,Frey soldier,Sandor “the Hound” Clegane,Sword,Blade,Attacked after Arya Stark killed a Frey in revenge for the Red Wedding,Riverlands,House Frey,1
275,3,10,Frey soldier,Sandor “the Hound” Clegane,Sword,Blade,Attacked after Arya Stark killed a Frey in revenge for the Red Wedding,Riverlands,House Frey,1
276,3,10,Frey soldier,Sandor “the Hound” Clegane,Sword,Blade,Attacked after Arya Stark killed a Frey in revenge for the Red Wedding,Riverlands,House Frey,1
279,4,1,Baratheon of King’s Landing soldier,Arya Stark,Sword,Blade,Killed in a tavern fight,Riverlands,House Baratheon of King’s Landing,1
281,4,1,Polliver,Arya Stark,Sword (Needle),Blade,Revenge for killing Lommy,Riverlands,House Baratheon of King’s Landing,3
328,4,7,Rorge,Arya Stark,Sword (Needle),Blade,Tried to collect the bounty on Sandor “the Hound” Clegane’s head; threatened Arya Stark in the past,Riverlands,None,2
464,5,2,Pigeon,Arya Stark,Sword (Needle),Blade,Killed for food,Braavos,None,1
521,5,6,Ghita,Arya Stark,Poisoned water,Poison,Sought death from the House of Black and White after suffering from an illness,Braavos,None,2
527,5,8,Oyster,Arya Stark,Shucking,Blade,Killed for food,Braavos,None,1
628,5,9,Clam,Arya Stark,Shucking,Blade,Killed for food,Braavos,None,1
700,5,10,Meryn Trant,Arya Stark,Knife,Blade,Revenge for killing Syrio Forel,Braavos,"House Lannister, House Baratheon of King’s Landing",3
701,5,10,Faceless man,Faceless man,Poison,Poison,Suicide/sacrifice to the Many-Faced God to compensate for Arya Stark’s killing of Meryn Trant,Braavos,Faceless Men,3
831,6,8,Lady Crane,The Waif,Knife,Blade,"Helped hide and heal Arya Stark. A fellow, jealous actress also wanted her dead and hired the Faceless Men to assassinate her ",Braavos,Smallfolk,3
832,6,8,The Waif,Arya Stark,Sword (Needle),Blade,Tried to kill Arya after she refused to assassinate Lady Crane,Braavos,Faceless Men,3
1241,6,10,Black Walder Rivers,Arya Stark,Unknown,Unknown,"Killed and baked into a pie, which was served to Walder Frey, as revenge for the Red Wedding",The Twins,House Frey,2
1242,6,10,Lothar Frey,Arya Stark,Unknown,Unknown,"Killed and baked into a pie, which was served to Walder Frey, as revenge for the Red Wedding",The Twins,House Frey,2
1243,6,10,Walder Frey,Arya Stark,Knife,Blade,Revenge for the Red Wedding,The Twins,House Frey,4
1244,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1245,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1246,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1247,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1248,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1249,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1250,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1251,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1252,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
1253,7,1,Frey soldier,Arya Stark,Poisoned wine,Poison,Revenge for the Red Wedding. Arya “wore” Walder Frey’s face as she poisoned them all.,The Twins,House Frey,1
